1,2,3,4,5,6,7,8,9
0.3727,0.1175,0.6315,-0.7881,-0.2779,0.7610,2.5754,-1.1781,-1.9060
0.7580,2.3122,-1.4756,-0.6101,-0.4406,0.9974,1.4568,3.3882,-3.6817
-2.5009,0.9959,5.6060,-2.3114,0.0321,1.3511,-2.3470,-2.9831,3.4916
-1.6757,-2.0619,0.4849,0.6164,1.0174,1.4764,-0.1698,-1.2538,2.8480
-2.9736,-1.8017,3.2812,-1.6548,2.2405,5.0090,-1.9219,-2.1752,4.6806
-0.5710,0.7755,0.1450,-0.1441,-2.0751,-1.2161,0.3166,0.7167,-1.0329
-0.0914,0.3400,-0.1686,0.2672,3.0950,2.4699,-0.8713,1.0965,1.4270
-0.5463,0.9046,-2.1885,0.2674,-0.8824,-2.2682,2.0959,2.5961,-1.2118
-0.2097,-1.4806,-0.8528,-0.0379,1.3377,1.8904,0.4001,-0.0856,0.7534
-1.9735,-2.0953,-0.2545,1.7630,1.6443,0.2032,2.4147,-1.3123,2.7562
-0.3057,0.6655,1.2845,1.2897,2.8417,1.9606,-1.1186,-0.1378,1.9434
-1.8924,0.3651,2.9841,0.7157,1.7999,2.9886,-1.4760,-0.9689,2.8465
-1.4762,1.3610,-0.8092,-1.2208,-1.7007,0.1787,0.1637,3.2023,-1.0883
-2.1380,0.3203,-1.5119,-0.5032,1.6806,-2.4796,2.9685,1.6400,2.1679
-2.8478,-1.4534,0.2731,-1.1960,3.0663,2.7752,-1.4240,0.6382,4.9417
-0.7624,-1.4712,0.9294,0.3352,4.6811,1.6454,0.4863,-2.1840,4.1474
-0.3235,-1.3004,-1.6815,-1.2877,1.5889,0.1602,0.3021,0.6121,1.5018
-0.5883,0.2966,2.4744,0.9740,1.6466,2.9593,-0.6575,-1.3772,1.1888
-0.2966,0.5107,0.7855,0.8544,0.8115,2.2997,0.7906,0.1120,-0.5801
-1.7930,1.3535,2.7617,-0.4202,-0.3095,0.1304,0.4186,-0.8155,1.0002
-0.4547,-0.7715,-0.2584,0.0596,0.3103,-0.1090,-0.0426,-0.2477,1.0299
-1.5848,1.0481,-1.5856,-1.2331,-1.1620,-3.0335,2.3448,2.4080,-0.2522
-0.6686,-1.3821,-2.0028,-0.9362,1.3739,-0.4381,0.0220,1.0141,1.9812
-0.6921,1.2449,0.8229,-0.0385,0.2157,-0.3388,1.8740,0.1012,-0.4379
-0.3894,2.9598,3.7133,-0.9877,-0.4125,-0.5288,0.0838,-1.2024,-0.4632
0.9905,0.8676,-0.7037,-1.7868,0.9361,0.1252,0.0042,0.9947,-0.8669
0.0752,0.0891,-0.9646,0.9079,1.3563,-1.4023,0.8760,0.3970,0.8238
0.2922,-0.7196,-0.7479,0.7536,-3.1632,-1.7965,-0.1380,-0.1278,-1.5004
0.8210,0.8926,1.3738,0.3618,-1.1883,2.4118,1.6163,-0.7554,-3.4467
-1.9194,-0.1392,-2.3782,-1.2522,-2.1474,-2.7552,0.9134,2.8571,0.2956
-2.4870,-0.9766,-2.6009,-1.2649,-1.0929,0.3694,2.8921,2.8633,-0.2855
-0.1655,-1.0913,-1.2117,0.3454,0.8713,1.3601,-0.3321,0.7430,0.6310
-0.3395,0.0878,-1.9441,1.2267,-0.1758,0.0334,0.4633,2.3498,-0.6068
-0.3918,-0.3137,1.2660,-0.3898,-0.3046,3.1340,0.4288,-0.7341,-0.9239
0.4194,-1.0290,-2.9239,-1.4414,-1.5347,0.9147,-0.6041,2.5788,-1.7566
-0.8268,2.2987,4.3017,-0.4416,1.1469,-0.0040,-2.1748,-1.7331,2.3412
0.2407,-1.3932,1.0132,0.4331,-0.7217,-0.8001,2.6776,-3.3594,-0.5722
-1.7661,0.3618,3.4279,0.5462,1.7641,1.3864,-0.5537,-2.1719,3.0938
-2.9181,4.0507,4.2720,-0.4886,-0.9279,-1.1933,0.6708,0.3601,0.8539
0.7311,2.2963,0.8035,0.0174,-2.0967,-1.3891,1.9948,0.2724,-3.4959
-0.6689,-1.4968,-2.0697,0.0335,2.8889,3.2614,-1.5787,2.1746,2.2714
0.6549,0.9651,0.5935,1.0671,-0.8194,2.4454,0.8096,0.4349,-2.9280
-0.5958,-0.1734,1.0908,-1.4352,1.0160,1.9418,-1.3150,-0.3300,1.3758
-2.1878,0.2850,0.1297,-1.6332,3.2108,0.0335,2.1806,0.4983,3.0388
0.8471,-2.1567,-3.4780,0.5706,-2.6349,-2.0097,0.5505,0.9524,-1.7114
-1.1496,-0.5088,0.5525,-0.5352,1.2907,2.1500,-0.2408,0.0267,1.5136
-0.1364,2.6719,1.1428,1.6400,-2.7908,-1.4198,1.2759,0.9697,-3.0493
0.5979,1.7735,0.8554,-0.0361,1.4955,0.3783,-0.4500,0.4604,-0.1355
1.2016,4.0620,3.9938,-2.7609,-0.5421,0.3820,1.2371,-1.3655,-3.3377
-0.2331,0.8103,0.5526,0.6163,0.4410,0.4404,-0.5466,0.4880,0.2704
-1.7246,5.3394,3.0039,1.6680,2.4835,1.8585,2.3366,2.3891,-0.7654
-2.3915,-2.9192,-0.6196,0.8332,2.0716,-0.4275,1.8767,-1.5437,4.2872
-2.6819,-1.8356,-1.2353,0.8272,0.9986,2.2193,2.6128,0.9693,1.5469
-1.4648,-1.4391,-0.7527,-0.3327,2.5685,-1.8695,1.8736,-0.9282,3.6357
0.0400,2.0571,1.7117,0.3049,1.9003,1.8291,-0.6052,0.4652,0.1415
-0.3570,0.1743,1.2320,-1.8305,1.5243,1.6911,-0.7041,-0.5516,1.2180
1.2850,-0.8429,-3.3604,-2.6091,2.1097,-0.8375,0.0697,1.7603,0.3764
-2.9696,1.9569,7.8012,1.7707,-0.7995,1.4391,-2.5005,-4.0994,3.3476
-0.2935,2.6570,2.1726,0.0291,-0.8926,0.9793,0.1429,0.6006,-1.7844
-2.8269,-1.1928,-1.8015,0.3513,-0.9868,-2.5934,0.7986,1.6631,2.6053
-1.8413,1.1565,4.9077,-0.0275,0.2097,0.9922,-1.7063,-2.6848,2.6625
1.4638,0.7814,0.9572,1.4237,3.3570,2.5732,-1.2978,-0.4951,0.5000
-0.8738,-1.1715,1.2575,0.7509,0.9458,1.5218,-0.7805,-1.5434,2.0859
-0.4906,-0.3074,0.3525,1.0943,1.1583,0.4543,1.5890,-0.7910,0.5967
-0.7965,-1.2997,-0.3998,-0.2789,2.0317,2.4876,-1.8961,0.5387,2.5481
-0.7980,-0.7505,0.4806,-0.1989,2.5892,3.5854,-2.6498,0.4948,2.7482
0.3882,0.1944,0.5860,1.7351,-0.3750,0.9953,1.9106,-0.8334,-1.8422
-0.7023,-1.1293,-3.2889,0.4929,-3.0358,-1.9358,0.6579,2.6180,-1.2923
-2.6285,-3.5170,0.2833,-0.7830,2.2271,-0.2313,0.6413,-2.6575,5.6309
-1.0141,-0.3625,0.2691,-0.7891,1.0077,0.8908,-0.9106,0.2631,1.8813
-1.4383,-1.6836,-0.1993,0.0618,2.0510,2.5851,1.1193,-0.3859,1.9596
0.2812,1.6212,-4.2086,1.8431,-1.9046,-1.7043,2.6346,5.1928,-4.0363
-1.2175,-1.6069,-0.2066,1.3974,2.5142,2.5009,1.0390,-0.4787,2.1367
-1.1921,1.5645,-2.2088,-0.2779,-0.6590,-1.5713,2.6585,3.6333,-1.4245
-1.9272,-2.0226,-0.4745,-0.4375,3.2539,0.9962,1.9502,-0.8731,3.6570
-1.8460,-1.3366,-0.4358,-0.8065,3.1918,-0.8770,-0.1083,-0.3048,4.9045
-1.2985,1.1396,2.3861,-2.1479,0.4934,1.6761,-0.8125,-0.2614,1.0846
-1.0616,-1.5094,0.2486,-0.2062,1.8961,-1.5264,1.1414,-1.9976,3.2882
-1.2593,-1.2809,-1.5043,-1.1127,-0.0098,2.6865,1.0978,1.5957,-0.2659
-0.4486,-0.2601,0.1313,-0.0844,3.0442,0.3569,0.6089,-0.5132,2.3264
-0.6246,-0.9120,0.0659,0.1087,0.4668,0.2918,2.0857,-1.0635,0.3133
-1.4713,-0.9728,-0.0956,0.0674,1.9340,0.9524,0.2570,-0.0176,2.6237
-1.2345,-1.2809,0.8800,0.5171,1.1453,1.2519,1.1457,-1.5770,1.7423
-1.2058,1.5632,3.4439,-0.1645,1.2448,1.1978,-1.2990,-1.1730,2.0092
-3.1481,-0.8860,-0.6625,0.3887,-1.7994,-1.8201,-0.5052,1.4659,2.6695
0.1281,0.1016,-0.5815,-1.0134,1.6729,0.1852,0.3926,0.4533,0.6415
